name,"Country of Origin","Unit of Quantity",Product description,product_code
"Electrode, unipolar",DE,PAK,"Cutting Loop, unipolar, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011010-10
"Electrode, unipolar, pointed",DE,PAK,"Cutting Electrode, unipolar, pointed, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053EB",011011-10
"Electrode, unipolar, ball end",DE,PAK,"Coagulation Electrode, unipolar, ball end, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011012-10
"Electrode, unipolar, longitudinal",DE,PAK,"Cutting Loop, unipolar, longitudinal, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011013-10
"Electrode, bipolar",DE,PAK,"Cutting Loop, bipolar, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011050-10
"Electrode, bipolar, pointed",DE,PAK,"Cutting Electrode, bipolar, pointed, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011051-10
"Electrode, bipolar, ball end",DE,PAK,"Coagulation Electrode, bipolar, ball end, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011052-10
"Electrode, bipolar, longitudinal",DE,PAK,"Cutting Loop, bipolar, longitudinal, 2 guide rods, 15 Fr., color code: green, sterile, for single use, package of 10, for use with Working Element 26053 EB",011053-10
"Electrode, unipolar, angled",DE,PAK,"Unipolar Cutting Loop, angled, 1 guide rod, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26050 D/E and 27050 C/D/E",011110-10
"Electrode, unipolar, pointed",DE,PAK,"Unipolar Coagulation Electrode, pointed, 1 guide rod, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26050 D/E and 27050 C/D/E",011111-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, with ball end, diameter 3 mm, 1 guide rod, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26050 D/E and 27050 C/D/E",011112-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, with ball end, diameter 5 mm, 1 guide rod, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26050 D/E and 27050 C/D/E",011113-10
"Electrode, unipolar, angled",DE,PAK,"Unipolar Cutting Loop, angled, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011114-10
"Electrode, unipolar, pointed",DE,PAK,"Unipolar Coagulation Electrode, pointed, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011115-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, ball end, diameter 3 mm, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011116-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, ball end, diameter 5 mm, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011117-10
"Electrode, unipolar, longitudinal",DE,PAK,"Cutting Loop, unipolar, longitudinal, 1 guide rod, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 26050 D/E and 27050 C/D/E",011118-10
"Electrode, unipolar, cylindrical",DE,PAK,"Coagulation Electrode, unipolar, cylindrical, diameter 3 mm, 1 guide rod, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 26050 D/E and 27050 C/D/E",011119-10
"Electrode, unipolar, cylindrical",DE,PAK,"Coagulation Electrode, unipolar, cylindrical, diameter 5 mm, 1 guide rod, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 26050 D/E and 27050 C/D/E",011120-10
"Electrode, unipolar, VAPORCUT",DE,PAK,"VAPORCUT� Electrode, unipolar, band width 1.2 mm, 1 guide rod, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 26050 D/E and 27050 C/D/E",011121-10
"Electrode, unipolar, angled",DE,PAK,"Coagulation Needle Electrode, unipolar, angled, 1 guide rod, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 26050 D/E",011122-10
"Electrode, bipolar, ball end",DE,PAK,"Bipolar Coagulation Electrode, ball end, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26040 DB/EB and 27040 DB/EB as well as HOPKINS� 12� Telescopes 26105 FA/27005 FA and HOPKINS� 30� Telescopes 26105 BA/27005 BA",011156-10
"Electrode, bipolar",DE,PAK,"Bipolar Cutting Loop, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26040 DB/EB and 27040 DB/EB as well as 12� Telescopes 26105 FA/27005 FA and 30� Telescopes 26105 BA/27005 BA",011160-10
